"Country","Total_Tourists_2025"
"Afghanistan",60
"Albania",128
"Algeria",253
"Andorra",110
"Angola",13
"Antigua and Barbuda",18
"Argentina",621
"Armenia",1233
"Australia",68275
"Austria",12216
"Azerbaijan",922
"Bahamas",16
"Bahrain",987
"Bangladesh",40485
"Barbados",14
"Belarus",5750
"Belgium",15322
"Belize",16
"Benin",15
"Bhutan",417
"Bolivia",18
"Bosnia and Herzegovina",248
"Botswana",28
"Brazil",1311
"Brunei Darussalam",62
"Bulgaria",2756
"Burkina Faso",11
"Burundi",3
"Cambodia",1008
"Cameroon",11
"Canada",33911
"Cape Verde",8
"Central African Republic",2
"Chad",10
"Chile",451
"China",91063
"Republic of Congo",11
"Colombia",463
"Comoros",59
"Democratic Republic of  Congo",21
"Costa Rica",78
"Cote d'lvoire",10
"Croatia",1327
"Cuba",27
"Cyprus",933
"Czech Republic",12837
"Denmark",12714
"Djibouti",10
"Dominica",106
"Dominican Republic",22
"Ecuador",84
"Egypt",2861
"El Salvador",13
"Eritrea",8
"Equatorial Guinea",1
"Estonia",2798
"Ethiopia",146
"Fiji",133
"Finland",2902
"France",83011
"Gabon",1
"The Gambia",12
"Georgia",493
"Germany",97644
"Ghana",52
"Greece",2815
"Grenada",26
"Guatemala",47
"Guinea",9
"Guinea-Bissau",3
"Guyana",26
"Haiti",7
"Honduras",16
"Hungary",4356
"Iceland",209
"India",325595
"Indonesia",3249
"Iran",6614
"Iraq",963
"Ireland",7029
"Israel",15417
"Italy",36690
"Jamaica",31
"Japan",24662
"Jordan",1922
"Kazakhstan",7848
"Kenya",835
"Kosovo",43
"Kuwait",1387
"Kyrgyzstan",561
"Lao People's Democratic Republic",179
"Latvia",2471
"Lebanon",2249
"Lesotho",8
"Liberia",6
"Libya",38
"Liechtenstein",86
"Lithuania",4923
"Luxembourg",606
"Macedonia",117
"Madagascar",146
"Malawi",32
"Malaysia",14901
"Maldives",24211
"Mali",11
"Malta",753
"Marshall Islands",1
"Mauritania",11
"Mauritius",532
"Mexico",708
"Moldova",429
"Monaco",16
"Mongolia",132
"Montenegro",80
"Morocco",759
"Mozambique",21
"Myanmar",1692
"Namibia",26
"Nauru",1
"Nepal",3677
"Netherlands",47777
"New Zealand",8211
"Nicaragua",15
"Niger",3
"Nigeria",76
"Norway",9227
"Oman",1904
"Pakistan",15835
"Palau",1
"Palestinian Territories",424
"Panama",20
"Papua New Guinea",101
"Paraguay",25
"Peru",189
"Philippines",4458
"Poland",32952
"Portugal",5309
"Qatar",699
"Romania",4035
"Russian Federation",118916
"Rwanda",30
"Saint Kitts and Nevis",111
"Saint Lucia",24
"Saint Barthelemy",1
"Saint Vincent and the Grenadi",9
"Samoa",5
"San Marino",21
"Sao Tome and Principe",1
"Saudi Arabia",4313
"Senegal",38
"Serbia",1555
"Seychelles",2371
"Sierra Leone",19
"Singapore",9764
"Slovakia",4796
"Slovenia",2571
"Solomon Islands",6
"Somalia",52
"South Africa",3218
"South Korea",8111
"South Sudan",5
"Spain",29595
"Sudan",834
"Suriname",18
"Swaziland",3
"Sweden",8125
"Switzerland",22639
"Syrian Arab Republic",3
"Tajikistan",174
"Tanzania",384
"Thailand",5808
"Timor-Leste",17
"Togo",6
"Tonga",3
"Trinidad and Tobago",58
"Tunisia",548
"Turkey",5662
"Turkmenistan",108
"Uganda",143
"Ukraine",5788
"United Arab Emirates",3831
"United Kingdom",151141
"United States",44605
"Uruguay",165
"Uzbekistan",594
"Vanuatu",33
"Vatican City",1
"Venezuela",96
"Vietnam",2681
"Yemen",372
"Zambia",52
"Zimbabwe",107
